Category_1,Category_2,Ordinal_1,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Target
B,X,Medium,1.7705,1.688,-1.748,,-2.041,3.566,0.7456,3.191,0.802,1.286,,1.007,-10.38
A,X,Low,,,2.092,0.5635,1.654,-0.327,0.47,0.0111,2.584,0.1614,2.984,-3.05,81.9
C,X,Medium,-0.03568,1.573,-1.057,3.184,-1.182,-0.3545,-0.1012,5.285,1.5205,3.908,0.1517,1.885,16.84
A,X,Medium,-0.4458,-4.36,3.367,-2.016,1.841,4.773,-0.2778,4.64,0.1704,1.971,-3.986,1.988,21.52
B,Y,High,5.27,-3.604,2.223,-1.355,1.201,2.568,1.52,3.434,-0.742,2.73,0.6626,3.768,-32.12
A,X,Low,4.844,-4.1,-0.3774,-2.137,1.81,0.632,0.885,1.214,0.614,-0.7417,-1.419,-0.8564,6.797
C,Y,Medium,0.9155,-2.514,1.447,3.607,1.042,-1.001,0.2017,-4.555,-0.8643,-0.4456,-1.247,1.722,138.2
C,X,High,-3.086,1.912,-2.086,-4.14,2.553,0.568,1.507,2.795,0.9316,-2.771,1.061,-1.585,68.4
C,X,Low,-0.2578,3.762,1.497,,0.624,5.07,0.614,-1.491,-0.3086,1.394,-3.387,1.259,59.3
B,Y,Low,-1.028,-1.337,-0.1026,1.771,1.25,-0.9316,2.135,-2.037,-0.0743,2.521,0.6543,-0.2274,88.94
B,Y,Low,-3.535,-0.902,-1.228,0.4485,0.4014,1.25,0.792,3.79,-0.07404,0.4844,0.674,-0.863,31.69
A,X,Medium,,-0.876,1.234,4.332,-1.484,2.71,0.722,-5.027,0.86,2.926,2.322,-1.807,113.94
B,Y,Medium,2.32,1.217,,-1.004,-1.59,-0.9004,0.79,3.21,1.046,-0.4146,-2.926,-0.299,-37.75
B,Y,Low,-5.727,-1.352,1.507,-0.9766,0.9404,-1.9795,0.1009,0.79,0.802,-0.706,3.764,1.285,117.1
B,X,High,-5.336,3.598,,-0.9077,-1.848,-0.877,0.4841,1.948,3.14,3.361,1.606,-2.547,57.25
A,Y,High,-1.8,3.738,0.1969,-1.441,-4.37,1.075,1.375,2.797,1.546,2.008,-2.729,4.605,-42.16
A,X,Medium,1.478,-1.207,0.11865,1.537,0.7905,2.105,0.4355,2.72,2.12,-0.2167,1.3,1.956,32.2
A,X,Medium,-1.166,-1.338,-0.1877,2.174,-0.706,3.44,-0.945,-1.791,0.010994,2.55,0.3198,0.49,58.75
A,,High,-2.543,2.086,-1.661,-4.19,-2.29,-2.908,1.925,0.01529,0.443,2.416,2.215,1.771,-21.8
B,X,Low,1.643,0.8223,1.337,-2.121,0.566,-5.57,0.1268,-1.039,2.7,2.17,5.76,-1.72,53.72
C,X,Low,,4.08,2.648,2.404,0.3545,-0.697,,-0.479,0.902,-0.539,-1.272,-2.355,110.8
C,Y,Medium,0.9736,-2.715,0.4673,-1.119,3.006,1.644,1.232,4.54,0.489,3.672,-5.625,3.768,-20.73
A,Y,Low,2.494,-1.577,0.9756,0.5474,-0.0597,5.34,1.39,-2.611,0.7075,-1.564,1.3,-3.031,56.6
C,Y,Medium,-1.53,-4.82,,-1.569,0.0468,-0.05304,1.771,1.287,-0.0406,-1.136,-3.588,-2.043,128.4
B,Y,High,0.11334,0.4607,-2.3,3.834,0.4187,1.219,1.368,1.987,,1.391,1.712,-3.744,43.62
B,Y,Low,0.2145,0.3015,-0.6978,2.424,0.4258,-0.518,0.6016,0.8994,0.672,-3.3,-1.218,0.4983,76.06
A,Y,,3.318,1.268,-0.6953,1.467,0.0943,3.145,1.19,2.426,0.793,2.908,-2.61,1.53,-49.9
B,X,Medium,-2.934,-0.677,-1.08,1.141,0.966,-1.226,2.525,0.5513,3.22,1.959,3.94,4.3,83.3
C,Y,Low,-4.1,-2.074,-0.4365,0.861,1.495,0.679,1.389,-1.02,3.457,0.7495,1.899,2.93,91.75
,X,Low,0.4966,-0.7266,1.551,1.458,-2.127,3.918,1.433,1.532,1.197,0.7627,1.708,-4.11,74.25
B,,Low,3.771,1.291,-0.7783,-2.947,2.816,0.3826,1.513,,-1.087,0.0713,0.8906,3.809,-26.19
B,X,Medium,-0.4136,-3.623,0.006577,0.1548,-0.149,6.76,1.145,-0.276,0.921,6.348,0.05353,2.94,-15.305
C,Y,Medium,0.7095,-3.523,0.6855,1.412,0.4072,-0.3467,-0.7886,3.555,0.8984,1.495,-2.69,1.457,56.1
B,Y,Medium,-0.4678,-2.604,0.9263,1.503,-0.552,-1.268,0.6543,1.936,1.024,3.254,-1.736,0.00919,68.6
C,X,Low,-0.812,-2.025,-0.738,1.35,0.01773,2.523,,4.008,1.174,2.455,0.514,-2.352,50.25
C,X,Low,4.793,0.9185,-0.287,3.2,-0.2886,-2.049,0.8506,3.428,0.8438,1.349,3.146,-0.8364,40.2
B,X,Low,-0.4136,,-0.824,2.32,0.8623,-0.4565,-0.1807,2.748,1.064,2.697,,-3.973,40.03
,Y,Medium,-2.676,1.295,1.15,1.965,0.3198,0.2637,0.1166,-1.178,0.1448,3.605,3.387,4.848,38.62
B,X,Low,-2.395,0.6577,0.544,,-0.5933,0.4182,0.1906,2.758,1.026,1.311,1.0205,2.467,40.34
B,Y,Medium,,-2.36,-0.434,3.902,1.252,-2.586,0.8057,-1.809,3.47,2.066,3.42,2.105,125.0
A,X,Medium,1.61,-1.926,,-1.659,1.282,0.9937,0.766,0.02379,0.6973,-0.584,6.2,-3.215,53.56
A,Y,Medium,1.348,0.3748,-0.716,-0.4834,-0.3,-2.412,-0.4912,1.657,1.997,4.555,1.752,-0.8154,-15.92
C,X,Low,2.14,0.664,2.2,-2.377,,,-0.305,0.01345,2.318,2.846,,5.57,-16.05
B,X,Low,-0.6494,,-1.98,-0.884,1.106,0.6665,-0.5117,2.248,1.099,-2.408,1.478,2.436,54.5
B,X,Medium,0.0696,2.664,-1.169,2.186,0.6763,1.155,,0.5186,2.824,2.395,2.71,-2.727,48.2
C,X,Medium,-3.668,-0.7925,-0.891,1.248,-3.076,3.982,,3.154,-0.358,4.758,-1.039,,14.89
B,Y,,-1.233,4.332,0.5166,2.982,0.9863,2.672,-0.1411,4.293,1.693,0.6367,,-1.487,51.4
A,X,Low,,1.749,1.474,0.4656,3.055,5.223,2.066,4.156,-0.8066,0.959,-1.976,2.37,51.53
B,X,Medium,-0.407,-0.702,-0.3667,-1.106,1.471,1.644,1.431,-1.838,1.506,0.1906,-1.192,,59.47
A,X,Low,1.468,1.553,2.443,1.498,1.984,0.3086,,-0.1356,0.8286,2.965,,-3.145,45.03
C,Y,Low,-2.576,0.02818,0.1947,2.016,-1.597,-0.5703,1.071,1.167,2.162,1.208,-2.516,-1.685,81.3
A,Y,Low,4.992,-4.273,1.041,-0.4934,1.308,5.48,0.5586,1.593,1.657,3.379,-0.01845,-0.635,-35.38
C,X,High,-1.679,-1.768,-2.047,0.6133,2.117,3.572,1.786,,2.832,3.438,-0.3958,2.791,32.88
C,X,Medium,3.71,-4.64,1.103,-2.113,-0.5923,-0.0005474,1.285,-4.117,3.182,-0.749,1.647,1.048,87.9
A,Y,High,0.1509,2.299,3.709,1.594,1.476,1.949,0.847,-5.31,-0.607,1.535,1.679,-0.6763,95.3
A,Y,High,-1.202,1.98,-1.492,-3.014,-0.5107,-0.4146,0.661,-0.4487,0.9824,-0.603,3.541,-4.883,24.61
C,Y,Low,1.6875,0.2441,1.154,-1.436,0.9478,-1.833,,-4.05,-0.4897,-0.3423,1.542,1.866,74.25
B,Y,High,0.3118,-0.2908,-0.673,0.8594,-0.945,-4.723,1.759,-2.2,1.647,1.257,2.77,,48.06
A,Y,,-4.97,2.4,0.4246,1.492,-0.465,1.474,0.3877,-1.407,0.008415,1.309,0.851,-1.857,83.56
B,Y,Low,-2.229,1.606,-1.758,0.6865,-1.46,-0.9653,1.498,-1.298,1.436,6.152,4.223,3.867,-0.1648
B,Y,Medium,-3.547,0.248,0.1075,-1.093,0.3718,0.5,0.02632,-0.06113,1.589,2.635,,1.326,49.16
B,X,High,0.394,-0.091,0.2576,1.172,0.7856,1.414,0.1239,-1.422,0.5347,0.3896,1.4795,3.54,55.06
B,Y,Low,2.062,0.04834,1.815,-0.2803,1.991,2.932,1.291,0.989,0.7236,-0.1375,-1.139,-2.48,34.28
B,X,High,0.5015,2.69,-2.012,-0.4185,-0.772,0.966,1.187,-0.9,0.507,0.1449,1.788,-0.07983,14.1
B,Y,High,-0.8164,-1.135,-1.764,2.031,-2.28,2.77,,-1.002,2.197,-5.117,-3.008,1.317,82.75
C,X,Medium,4.98,3.23,-1.965,2.518,2.248,-0.4019,1.11,3.555,1.417,6.992,2.479,-3.148,-35.47
B,Y,Medium,-2.514,5.625,-1.025,-4.094,0.1964,,-0.6597,-0.8228,-0.8325,-2.588,-1.103,0.981,-15.44
A,Y,Low,1.763,1.38,0.5386,-1.094,0.5186,0.6025,1.215,0.675,-0.5454,2.486,1.969,-0.83,-19.2
A,Y,Medium,3.492,0.06616,1.474,,0.833,,0.946,-0.8677,-0.4375,0.4875,0.4412,-0.6045,4.562
B,,Medium,-1.527,2.139,2.043,1.143,-0.531,-2.264,0.7,1.446,-0.2795,0.2837,1.017,-3.863,100.1
B,X,High,0.989,2.945,0.798,2.191,0.769,3.28,1.043,2.203,-0.301,2.834,1.637,4.938,3.006
A,Y,Low,-1.533,-3.686,,-0.2737,-2.018,5.562,2.557,0.8345,0.3638,-1.697,0.5566,0.912,56.28
A,X,High,0.636,-1.216,1.893,0.884,0.07294,-3.06,0.0287,5.81,0.531,-2.57,2.873,1.704,74.8
B,Y,Medium,2.777,3.277,2.53,-2.717,-0.1768,1.421,0.1266,0.4858,2.984,-0.03458,1.106,4.668,-39.2
A,Y,High,2.146,-1.406,-0.1361,2.07,-1.522,,1.496,-0.6455,1.682,-0.897,-2.166,0.6777,54.88
B,Y,Medium,-1.251,-2.535,2.219,0.1644,-1.233,3.07,1.063,0.667,-0.2832,-1.474,0.4958,5.434,73.4
A,X,High,5.004,1.231,0.3464,-1.05,1.375,1.7295,1.082,-1.318,0.00684,,-1.57,-3.617,14.875
C,,Low,7.473,-0.942,3.021,1.78,1.722,-2.656,1.004,-0.01013,0.765,-0.1246,3.309,-3.06,61.0
A,Y,High,0.02834,,-0.799,4.086,0.5933,0.646,0.594,-2.9,0.9854,-1.844,-0.4285,-0.04422,107.06
A,Y,High,-3.473,-1.3125,2.043,-0.7563,-0.2861,-1.175,1.053,-0.9204,1.099,-1.258,-4.25,4.71,107.4
B,Y,Medium,-1.021,-1.687,0.3403,,1.188,2.783,0.6133,2.936,-0.4597,0.4038,0.627,3.248,51.12
A,Y,Low,0.2244,1.691,-0.781,4.008,1.615,1.0205,2.688,1.865,1.418,0.1893,-4.035,3.277,63.9
B,X,Medium,2.678,2.94,0.431,-1.479,3.361,3.92,1.586,0.1943,1.011,-0.549,0.1373,-7.0,44.38
A,X,Medium,3.838,2.63,-0.842,-3.547,1.879,1.6875,0.604,,0.43,-2.203,-1.246,-4.35,9.33
C,Y,Low,3.137,0.965,-0.4583,-2.05,1.526,,1.8125,3.59,1.15,3.72,-0.4956,1.286,-60.78
A,Y,Medium,3.121,0.782,-0.754,0.9126,-0.737,2.387,0.05316,-2.838,0.08417,-2.426,-9.0,-2.105,28.5
C,Y,Low,-0.5376,-3.018,2.11,,,1.594,2.371,3.158,2.4,1.02,1.66,5.707,49.44
B,X,High,1.8545,-0.1135,-0.642,4.34,1.302,0.6143,1.908,4.133,1.412,-1.974,,1.594,78.75
A,Y,Low,-1.685,0.2637,-3.344,2.37,-0.974,-2.072,0.001468,1.17,0.1605,4.477,0.541,-1.318,-6.812
B,Y,Medium,-4.29,1.481,3.004,3.82,1.859,0.2976,2.613,2.455,0.9023,0.826,2.354,,135.0
C,Y,Low,0.2164,0.3418,3.078,-0.691,0.9155,0.1929,-0.3652,-0.5894,-0.3003,-1.097,5.934,-1.4795,100.44
C,,Low,-2.938,3.156,0.06174,-2.797,1.012,4.15,0.599,0.0534,1.042,-2.803,-1.385,0.4143,48.38
,Y,Medium,0.082,1.846,0.1326,1.473,2.756,4.688,2.105,-3.998,1.158,-1.198,1.76,-0.682,105.3
A,X,High,-1.296,2.818,-0.6865,0.2588,0.4355,2.416,-1.054,2.406,0.4841,0.9834,,4.023,-2.006
B,X,Medium,1.234,1.189,-0.02206,-0.664,-1.212,-3.838,0.09534,0.4412,0.607,-1.412,5.34,-0.835,56.44
B,X,Medium,-1.444,1.634,-3.102,0.1357,1.655,-1.2295,-1.139,0.784,0.5034,-3.441,0.2441,0.849,58.0
B,Y,High,-0.811,0.1101,-1.013,-0.671,1.785,-0.277,0.699,0.88,1.8,0.684,-0.6953,-0.7637,55.5
A,Y,High,0.381,0.5933,0.3076,-1.503,0.4531,4.33,-0.917,3.428,0.9053,-0.826,4.25,-2.152,-6.336
B,X,High,0.05386,-4.78,3.955,-2.227,1.646,-0.3538,,1.962,-0.2201,-0.761,4.324,-2.979,137.9
A,X,Low,-1.459,-0.01788,-3.057,-0.5293,0.2668,-3.555,3.607,2.47,-1.426,1.839,2.264,1.855,25.98
A,X,Low,3.59,-1.168,-1.686,-2.156,1.263,1.135,0.284,-2.152,1.606,-0.01146,3.414,-2.553,14.96
B,X,High,4.484,,,2.998,-0.0225,1.097,2.008,0.9556,0.62,1.415,1.095,3.164,-3.209
B,X,Low,3.447,-2.654,-0.4636,-2.082,-0.527,0.7812,-0.01068,-2.578,-1.551,-1.472,-0.004192,1.669,2.385
C,X,Medium,5.145,1.337,-2.684,6.0,-2.156,3.557,,0.8975,0.684,0.978,5.605,-0.05008,17.97
A,X,,2.623,3.572,-1.748,-5.75,-0.03812,-1.098,1.432,-0.7515,0.2593,,0.0882,1.687,-40.38
A,X,High,-1.561,-3.578,0.908,-1.763,0.733,4.934,0.11646,1.99,1.611,1.724,2.283,-0.1127,35.22
B,Y,Low,2.62,0.10583,-2.898,1.327,0.895,-3.877,2.049,1.447,1.067,0.3765,2.674,0.776,21.0
C,X,Low,-3.354,-0.3398,0.8413,-3.37,-1.514,-1.331,-0.2573,-0.3218,0.2983,2.906,,6.902,14.79
C,Y,Medium,-0.02763,2.71,-1.678,2.793,0.9985,-2.422,2.291,-1.705,1.0625,2.127,1.154,0.04254,73.06
C,X,High,4.336,-0.1382,0.000567,3.182,-0.3699,2.03,1.108,2.732,0.86,0.573,-1.766,3.69,21.75
B,Y,High,6.566,,3.62,0.7974,-1.745,-6.67,1.634,0.756,,3.658,1.063,-2.418,44.16
C,Y,Low,-0.1991,0.7593,0.712,-1.433,-0.4387,-2.73,2.76,4.574,2.637,-0.8643,-3.078,-3.26,72.75
A,Y,Low,3.203,5.08,-1.08,-0.1064,0.6274,-0.2134,0.0312,3.37,0.7837,-0.143,1.522,1.251,-44.25
B,Y,Low,1.781,1.892,0.435,-1.12,2.844,1.782,-0.064,3.81,2.887,-1.714,,2.322,9.48
A,Y,Medium,-2.84,-2.654,0.9517,2.662,1.239,-2.484,0.9995,4.62,0.7065,-0.1398,,-0.2354,122.0
B,Y,,0.757,6.04,3.016,-2.238,-0.2722,1.076,2.102,-3.963,1.504,1.045,2.584,0.414,54.0
B,X,Medium,2.229,1.995,1.716,1.072,1.959,7.26,1.368,1.045,,0.3684,1.24,4.562,4.33
A,Y,Medium,0.291,1.453,0.3945,0.4805,0.772,-0.0864,1.101,0.3535,1.218,1.678,2.223,2.562,30.8
C,X,Medium,0.092,,1.295,,-0.708,1.652,2.344,2.105,-0.9937,-0.06604,-0.285,-0.808,51.28
A,Y,Low,0.5864,2.146,-0.5435,0.6714,3.926,2.744,0.1759,-0.0887,1.362,2.967,-1.795,1.716,2.557
C,X,Low,,-2.885,-1.156,2.248,1.618,0.729,-0.2896,-2.092,0.9785,,0.584,3.27,68.3
B,X,Low,0.2452,-1.202,0.4128,-0.387,-0.9634,-0.3882,3.066,1.921,-1.113,-1.191,0.2854,3.703,43.2
B,Y,Low,-0.8306,4.83,-0.8047,-0.441,-0.262,4.91,2.66,0.10144,0.686,4.766,1.124,-0.872,-39.75
A,Y,Low,1.969,0.05295,-1.34,0.9443,,1.241,1.174,-2.496,1.529,-0.804,-3.658,-0.1875,56.47
A,X,High,1.467,-5.043,-0.2426,2.209,2.428,-4.152,1.813,0.1945,1.648,-1.292,-0.3596,-0.1322,126.0
C,Y,Low,0.3188,5.117,1.798,-2.947,-0.3838,0.7593,1.959,2.334,1.888,0.397,0.6104,1.659,-19.89
B,Y,Low,-1.158,4.113,-2.217,-0.9766,1.175,4.3,,0.7705,0.306,-3.62,0.2688,0.8574,23.55
A,X,High,3.078,0.4104,0.546,-0.8027,-1.722,,0.1138,3.037,0.98,5.867,1.758,-1.659,-37.1
C,X,Medium,0.03302,1.22,-1.572,-2.258,0.595,-3.697,0.4907,-1.307,2.016,-1.87,0.3647,-0.5415,83.4
B,Y,Low,-1.917,,-0.4146,3.15,,-3.742,0.623,-0.1571,1.531,-0.2256,5.242,3.428,113.3
C,X,Medium,0.2487,1.274,-0.1704,-2.72,1.258,-3.535,0.827,2.395,0.539,-2.582,-1.883,3.324,51.38
B,X,High,2.225,-0.1917,-1.548,-0.345,0.3342,2.635,0.981,,0.1869,1.762,0.3062,1.917,-21.58
B,X,High,-3.715,-6.637,1.659,3.148,0.02312,-0.529,0.3826,-0.2637,2.541,0.9614,1.057,1.584,174.0
C,Y,Medium,2.395,2.709,-1.947,-0.2778,1.932,-1.149,0.1873,0.7603,0.2056,-0.6445,-1.065,,-21.2
C,Y,Low,1.78,-2.592,-0.4912,2.875,-1.715,-2.473,2.215,2.387,0.3022,3.61,-2.4,-1.871,46.66
C,X,Low,-1.113,-3.604,1.274,-0.2147,2.45,-2.072,-0.3677,-0.3948,0.0676,0.0257,4.35,-2.42,140.4
B,Y,Low,4.383,5.95,1.394,2.938,1.419,-0.3499,0.2527,2.97,1.568,1.531,4.23,-2.57,3.338
C,Y,High,1.431,0.957,-0.8633,2.436,2.334,3.248,0.2279,0.3906,0.892,1.615,1.582,0.996,37.62
B,Y,Low,2.326,0.896,-0.491,-3.814,-0.6265,0.6113,1.833,-1.494,1.0625,-1.08,-3.035,-1.338,3.867
C,X,Medium,0.474,-2.45,-1.002,-1.825,-0.6255,-0.3372,0.792,-0.7217,-1.574,6.14,-0.862,0.871,-4.24
A,Y,Medium,-3.27,-0.5933,-0.2274,-1.392,1.659,-1.098,1.765,3.402,-1.789,-0.755,-0.3308,0.11487,45.9
B,X,Low,5.953,2.535,-1.249,-1.239,2.268,1.224,1.571,-3.47,2.053,1.966,-2.535,-0.8003,-23.0
A,X,Low,0.32,2.781,-0.317,-1.745,-0.1887,3.63,-1.391,-1.939,1.17,0.2751,0.0894,3.03,-19.45
C,Y,,3.342,0.617,-0.536,-0.3796,1.728,-3.945,1.161,-1.45,2.07,-0.4407,-1.282,-2.645,74.75
A,Y,Medium,3.527,0.814,-0.3389,-3.973,-1.048,-0.1029,1.466,1.829,2.365,-4.117,2.266,3.54,-11.305
B,X,Medium,0.582,1.624,-0.1965,-1.88,-2.057,-2.777,1.577,1.633,0.99,-0.2773,0.4543,-3.568,18.25
C,X,Medium,-1.324,-0.536,3.031,-0.0798,0.1428,-1.865,0.682,0.836,1.783,-1.777,2.008,8.6,109.44
A,Y,Medium,-2.275,-1.405,-1.944,2.277,-0.431,-3.19,-0.3196,-0.988,1.774,0.6274,,0.1471,82.9
,X,Low,-1.096,-0.03137,3.666,-1.042,0.845,3.918,1.214,-1.155,0.8027,0.09955,1.337,-3.43,107.44
B,X,High,,-2.889,-1.789,-1.35,1.724,0.728,1.757,-1.396,0.906,-7.594,-0.3384,-1.397,126.3
C,Y,Low,0.6455,-0.583,1.442,-1.135,1.421,1.108,1.803,-0.1377,-0.1257,-0.001195,-3.914,3.729,33.94
C,X,Medium,-3.3,2.836,-0.1373,2.201,-0.1989,0.0301,1.818,-0.2524,2.002,0.699,0.899,-0.3508,112.25
C,Y,Medium,1.91,-0.706,-2.467,-2.902,0.8726,-2.518,0.4263,-0.12177,0.2167,-0.09296,,3.451,-27.38
B,Y,High,-2.314,2.701,2.32,-1.758,0.8916,0.7188,0.9614,1.777,0.1667,-2.994,-1.482,2.186,39.94
A,X,Medium,-1.701,-0.8193,-2.143,3.41,1.758,-3.209,1.968,0.00899,0.676,-4.58,1.347,-2.578,179.1
A,X,Low,3.467,0.9873,-0.82,-2.299,-1.775,0.514,0.59,,1.537,,-1.877,-0.3542,-52.66
C,X,Low,2.518,1.645,-2.613,-0.7417,0.0985,1.0625,-0.1061,-0.0655,0.6665,-0.1658,-1.163,-1.916,-2.166
B,X,Low,0.2517,1.267,-1.465,1.093,-0.2632,1.766,2.512,0.405,3.139,2.25,1.367,2.744,35.5
A,,Low,-1.069,2.867,-0.57,1.825,-1.083,-0.3496,1.006,-2.854,0.7905,-1.855,-1.465,0.3167,69.9
A,Y,Low,1.182,-0.689,-0.539,-0.1298,0.8677,0.3467,1.525,0.6855,0.4192,-1.373,1.236,0.2976,24.17
A,X,Low,1.536,3.434,2.123,0.3667,,0.723,0.0775,0.4634,-0.3455,-0.01787,-0.07153,-0.5317,46.25
A,Y,Low,4.195,0.8467,-1.608,2.383,-0.1882,-0.251,1.64,1.756,2.6,1.951,-3.791,-1.723,-23.89
B,X,High,0.1741,-1.852,2.777,,0.524,-2.912,2.127,1.781,,-1.353,-6.83,0.1094,143.4
A,X,Low,-0.1919,,-0.7075,2.182,1.871,0.03009,0.98,0.365,0.4263,-1.078,-0.6265,-0.1855,106.3
C,X,High,0.5684,-0.2224,-0.2057,1.047,2.93,1.094,1.044,-2.494,-1.01,-2.5,3.365,-0.171,121.9
B,Y,High,-1.286,2.02,-0.5,-2.541,0.1885,4.934,1.734,4.418,0.5312,5.23,-0.295,-2.086,-56.94
A,Y,Medium,,2.867,-0.627,2.156,1.661,-0.8545,0.9536,1.892,0.6436,,1.453,-3.553,72.0
B,,Low,-0.605,3.16,0.2202,2.244,1.126,-1.399,0.2056,2.43,0.0933,-3.932,-1.363,-1.552,105.06
A,X,Low,0.9746,2.393,2.174,-0.6865,-0.943,4.004,0.693,5.777,2.043,3.502,0.4219,,-32.44
A,X,Medium,0.2465,2.334,2.068,1.841,1.526,-2.701,1.717,2.906,2.068,-1.692,-3.02,4.008,88.4
B,X,Low,8.49,0.496,0.5586,1.712,0.875,1.319,-0.914,4.63,0.6797,-1.11,5.758,3.402,-52.94
A,Y,Medium,-3.486,1.873,1.171,-0.873,0.681,,-0.2007,-0.1193,1.712,2.266,2.021,0.548,42.28
B,X,High,0.1735,1.497,-1.432,,1.993,-1.779,0.8286,2.756,3.46,0.288,3.814,0.9214,37.66
B,Y,Low,-0.1166,-1.227,-1.344,2.672,0.2031,,2.486,0.916,2.617,1.177,4.242,4.31,63.22
B,X,Low,-1.029,-1.731,0.7686,-0.862,-1.215,-1.266,,0.127,0.729,-3.33,4.207,1.343,102.25
A,Y,Low,0.006092,,-2.135,-1.198,0.1398,5.14,1.604,2.867,1.448,2.018,5.035,-1.591,-20.88
C,X,Low,-0.5483,1.565,0.484,3.426,1.572,1.547,-0.4294,-1.613,-1.517,4.484,,,61.4
A,Y,High,3.342,5.17,0.1799,0.8276,1.534,3.451,0.2238,-0.1653,-0.744,-3.469,4.734,-4.81,29.61
B,X,Medium,-2.004,2.758,1.108,-1.122,0.2898,-0.0509,1.303,2.035,2.086,0.07446,-0.52,1.786,55.94
A,X,Low,-0.9233,2.955,-1.886,-2.713,-1.642,-0.2296,0.1826,1.977,1.087,-0.06805,4.336,3.727,-49.66
B,X,High,1.969,-1.165,-0.2634,-0.312,-1.005,2.979,0.03146,-1.68,1.44,0.7026,-3.293,1.778,22.69
B,X,Low,1.758,0.842,-0.0469,-1.794,0.236,-0.1707,0.686,-0.806,-1.079,2.514,-3.723,-0.5527,-9.875
C,Y,Low,-2.2,0.967,0.2798,2.002,-1.598,6.246,0.2001,-2.1,-0.3472,0.617,-1.957,-0.71,70.5
A,Y,Low,2.15,,4.88,1.063,,-1.14,1.765,-1.726,0.627,1.13,1.397,6.062,50.34
A,Y,Medium,2.07,0.978,2.406,-0.03006,3.902,3.3,0.6787,4.523,1.785,-0.2808,3.28,1.287,36.28
A,X,High,4.363,0.819,-0.3503,0.9336,-2.928,-2.027,1.457,3.506,-0.4058,-1.103,5.98,3.52,5.766
B,Y,Medium,-1.056,3.643,-0.7466,1.216,-0.857,,,2.844,-0.1127,-3.504,1.207,-0.2605,31.7
A,X,Medium,2.357,-1.265,,-0.0494,-0.223,1.567,0.716,3.584,0.89,-3.691,1.471,1.495,72.5
A,Y,Low,2.055,1.755,-0.03296,-0.3826,0.11676,-4.023,1.694,3.887,-1.153,-2.47,-0.4246,3.879,26.2
A,X,Medium,2.57,0.3635,,1.543,-0.604,-1.451,2.543,1.34,0.3965,-1.838,2.24,-0.787,84.0
A,X,Medium,-1.432,-0.8027,1.75,-3.035,-0.6157,3.078,1.935,-3.898,1.925,2.328,-1.008,1.861,54.84
B,X,Low,-0.8984,-1.511,-0.268,-0.454,0.723,-2.32,2.025,-0.1334,1.993,0.1968,-0.1575,1.88,93.3
B,X,Low,-2.406,1.873,-0.2969,0.644,,-0.9824,1.862,-0.4546,0.1941,-0.2568,4.68,0.7373,90.8
B,X,Medium,1.758,2.516,-2.408,3.143,3.502,2.4,2.408,0.0918,1.683,-1.403,-1.353,2.367,64.4
B,X,Medium,-2.598,-2.75,-1.896,3.498,0.1614,-0.4902,-0.164,-0.1958,,-2.135,0.886,-2.936,145.0
,,Medium,-1.702,,0.2081,0.6777,1.265,3.54,1.265,-2.174,1.654,2.822,5.227,,69.75
B,Y,,3.846,-0.813,,3.215,0.2006,0.563,0.43,1.123,-1.286,-1.214,1.7705,-0.6064,11.875
B,X,,4.18,1.325,0.622,3.408,,1.093,2.246,1.843,1.708,-1.869,1.37,4.098,58.22
A,X,Medium,1.679,1.008,-1.498,1.532,0.9604,-0.524,0.2393,-1.53,-0.47,-3.756,6.234,-0.7036,85.44
B,Y,High,-5.164,-0.828,-2.906,3.188,,1.891,0.596,-1.459,1.115,2.604,3.367,,86.25
B,X,Medium,5.156,-2.299,,3.621,-0.58,0.000499,0.6387,0.758,2.17,-0.213,4.387,0.954,61.66
C,X,High,-2.105,-1.929,-0.01785,-1.856,-0.2644,0.313,0.1323,-2.027,0.659,2.025,-1.447,-0.339,70.2
A,Y,Medium,-0.8203,3.695,-1.062,-3.121,3.22,,1.0625,,0.1305,2.553,-0.1273,3.797,-34.06
B,Y,,1.524,-4.016,-2.828,,1.365,-1.838,-0.1096,-1.966,-0.301,0.816,0.0379,1.15,56.9
C,Y,Low,-1.877,-2.229,4.367,0.314,1.62,3.127,,0.508,-0.2632,-0.2078,-2.305,-0.9146,127.94
A,Y,Low,-3.49,5.53,-2.957,0.1974,-0.0904,-1.139,0.237,-0.3284,1.679,2.285,1.067,-1.786,21.84
A,X,Low,3.168,1.243,-1.958,1.995,-0.8228,2.252,0.975,2.201,2.549,0.8984,1.864,-0.0721,-15.01
A,Y,Medium,-0.6846,,-2.19,2.43,1.118,-1.536,2.47,0.256,1.261,1.517,-1.282,0.1956,61.25
A,Y,Low,2.201,-3.736,-3.566,-1.771,-0.2483,-2.984,0.9106,3.826,1.919,-0.2377,-4.63,2.68,-28.7
C,X,Medium,1.924,1.646,-0.9053,2.74,0.6943,0.2028,0.5317,0.2646,2.887,-1.21,-4.49,4.984,51.5
B,Y,Low,0.363,-0.1661,-0.4373,-1.664,1.814,1.031,0.869,0.2122,1.08,-1.817,1.618,4.387,40.5
C,Y,Medium,-6.125,-1.683,-0.3584,0.9463,,0.6274,-0.1059,5.39,-0.2913,1.132,2.195,0.919,73.6
